;8H-9H;9H-10H;10H-11H;11H-12H;12H-13H;13H-14H;14H-15H;15H-16H;16H-17H;17H-18H
01/12/2018;x;x;x;x;;;x;x;x;
02/12/2018;;;;;;;;;;
03/12/2018;x;x;x;x;;;x;x;x;
04/12/2018;x;x;x;x;;;x;x;x;
05/12/2018;x;x;x;x;;;x;x;x;x
06/12/2018;x;x;x;x;;;x;x;x;x
07/12/2018;x;x;x;x;;;x;x;x;x
08/12/2018;x;x;x;x;;;x;x;x;x
09/12/2018;;;;;;;;;;
10/12/2018;x;x;x;x;;;x;x;x;x
11/12/2018;x;x;x;x;;;x;x;x;x
12/12/2018;x;x;x;x;;;x;x;x;x
13/12/2018;x;x;x;x;;;x;x;x;x
14/12/2018;x;x;x;x;;;x;x;x;x
15/12/2018;x;x;x;x;;;x;x;x;x
16/12/2018;;;;;;;;;;
17/12/2018;x;x;x;x;;;x;x;x;
18/12/2018;x;x;x;x;;;x;x;x;
19/12/2018;x;x;x;x;;;x;x;x;
20/12/2018;x;x;x;x;;;x;x;x;
21/12/2018;x;x;x;x;;;x;x;x;
22/12/2018;x;x;x;x;;;x;x;x;
23/12/2018;;;;;;;;;;
24/12/2018;x;x;x;x;;;x;x;x;x
25/12/2018;x;x;x;x;;;x;x;x;x
26/12/2018;x;x;x;x;;;x;x;x;x
27/12/2018;x;x;x;x;;;x;x;x;x
28/12/2018;x;x;x;x;;;x;x;x;x
29/12/2018;x;x;x;x;;;x;x;x;x
30/12/2018;;;;;;;;;;
31/12/2018;x;x;x;x;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
